price,type,sqfeet,beds,baths,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,pets_allowed
1100,1,1625,3,2,0,0,0,0,4,4,18,1
1550,3,723,1,1,0,0,0,0,4,0,22,0
768,3,736,1,1,1,0,0,0,1,4,12,1
760,1,1000,2,1,1,0,0,0,3,4,17,1
650,0,700,1,1,0,0,0,0,3,2,14,1
459,3,1152,3,2,1,0,0,1,1,4,29,1
1050,1,1194,3,1,0,0,0,0,4,0,14,0
850,3,1000,2,1,0,0,0,0,1,0,29,0
1050,1,1450,3,2,0,0,0,0,4,4,18,0
1380,1,1585,3,3,0,0,0,0,4,5,18,0
599,3,752,1,1,1,1,0,0,1,4,25,1
710,2,1160,2,2,1,0,0,0,3,4,36,1
888,1,1,4,1,0,0,0,0,4,4,28,0
710,2,1160,2,2,1,0,0,0,3,4,36,1
888,1,1,4,1,0,0,0,0,4,4,23,0
990,1,1145,3,3,1,1,0,1,0,0,12,1
650,1,800,3,1,0,0,0,0,3,4,18,0
685,3,1000,2,1,0,0,0,0,1,4,25,1
2600,1,5000,4,3,0,0,0,0,3,0,22,0
1500,1,1904,4,2,1,0,0,0,3,0,18,1
850,3,1000,2,1,0,0,0,0,3,4,12,0
685,3,958,2,1,1,1,0,0,1,4,25,1
1045,3,1276,3,2,1,0,0,0,3,4,27,1
795,3,860,2,2,1,1,0,0,3,4,25,1
750,1,1313,2,2,0,0,0,0,3,4,18,1
695,3,950,2,2,0,0,0,0,0,2,23,1
750,1,1313,2,2,0,0,0,0,3,4,18,1
850,1,1200,2,1,0,0,0,0,4,0,12,0
1800,1,1543,5,3,0,0,0,0,4,0,12,1
934,0,1294,3,2,1,0,0,0,4,4,15,1
695,1,1100,3,1,1,0,0,0,3,4,15,1
685,3,958,2,1,1,1,0,0,1,4,25,1
0,3,940,3,1,1,1,0,0,1,4,12,0
550,2,610,1,1,0,0,0,0,0,4,28,1
0,3,940,3,1,1,1,0,0,1,4,12,0
625,2,800,2,1,0,0,0,0,0,4,28,1
995,2,950,2,1,1,0,0,0,3,4,37,0
850,1,1100,3,1,0,0,0,0,3,0,24,1
650,1,860,2,1,0,0,0,0,4,2,12,0
775,3,1082,2,2,1,0,0,0,3,4,24,1
775,3,1082,2,2,1,0,0,0,3,4,24,1
